ENCABEZADO,PRECIO,LINK,STORE
arroz roa 1000 gr,3200,https://www.exito.com//arroz-roa-1-kilo-477377/p,Exito
arroz 1k diana 1000g,3300,https://www.exito.com//arroz-diana-1000-gr-624332/p,Exito
arroz 1k diana 1000g,3300,https://www.exito.com//arroz-diana-1000-gr-624332/p,Exito
arroz blanco x 1000 gr,3350,https://www.exito.com//arroz-blanco-x-1000-gr-622811/p,Exito
arroz blanco frescampo 1000 gr,3480,https://www.exito.com//arroz-blanco-894182/p,Exito
        arroz blanco diana vitamor            1 kg    ,3490,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-blanco-diana-vitamor-1-kg,Merqueo
        arroz blanco diana vitamor            1 kg    ,3490,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-blanco-diana-vitamor-1-kg,Merqueo
arroz flor huila 1000 gr,3520,https://www.exito.com//arroz-flor-huila-1000-gr-491125/p,Exito
        arroz integral supremo            1 kg    ,3890,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-integral-supremo-1-kg,Merqueo
        arroz integral supremo            1 kg    ,3890,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-integral-supremo-1-kg,Merqueo
        galletas club social arroz silvestre x9 unds            216 gr    ,3990,https://merqueo.com//bogota/super-ahorro/galletas-dulces-y-antojos/galletas-saladas/galletas-club-social-arroz-silvestre-x9-unds-216-gr,Merqueo
        galletas club social arroz silvestre x9 unds            216 gr    ,3990,https://merqueo.com//bogota/super-ahorro/galletas-dulces-y-antojos/galletas-saladas/galletas-club-social-arroz-silvestre-x9-unds-216-gr,Merqueo
arroz blanco arroz 10 1000 gr,4350,https://www.exito.com//arroz-blanco-1000-gr-256366/p,Exito
        tostada susanita de arroz con sal marina 15 und            90 gr    ,4390,https://merqueo.com//bogota/super-ahorro/panaderia-y-arepas/tostadas-y-hojaldres/tostada-susanita-de-arroz-con-sal-marina-15-und-90-gr,Merqueo
harina de arroz 500gr (1 libra),4450,https://articulo.mercadolibre.com.co/MCO-606444103-harina-de-arroz-500gr-1-libra-_JM#position=45&search_layout=stack&type=item&tracking_id=6b0c9323-a043-423e-a334-df0dcf52039c,Mercado libre
arroz parbolizado roa 1000 gr,4450,https://www.exito.com//arroz-parbolizado-870337/p,Exito
harina de arroz 500gr (1 libra),4450,https://articulo.mercadolibre.com.co/MCO-606444103-harina-de-arroz-500gr-1-libra-_JM#position=45&search_layout=stack&type=item&tracking_id=19c75c02-ee03-4283-acf2-b40507a0b554,Mercado libre
        arroz integral diana            1 kg    ,4590,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-integral-diana-1-kg,Merqueo
        tostada susanita de arroz integral con quinua 15 und            80 gr    ,4590,https://merqueo.com//bogota/super-ahorro/panaderia-y-arepas/tostadas-y-hojaldres/tostada-susanita-de-arroz-integral-con-quinua-15-und-80-gr,Merqueo
        arroz integral diana            1 kg    ,4590,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-integral-diana-1-kg,Merqueo
        tostada susanita de arroz integral con quinua 15 und            80 gr    ,4590,https://merqueo.com//bogota/super-ahorro/panaderia-y-arepas/tostadas-y-hojaldres/tostada-susanita-de-arroz-integral-con-quinua-15-und-80-gr,Merqueo
arroz integral roa 1000 gr,4940,https://www.exito.com//arroz-integral-1000-gr-255874/p,Exito
arroz integral roa 1000 gr,4940,https://www.exito.com//arroz-integral-1000-gr-255874/p,Exito
arroz integral taeq 1000 gr,5030,https://www.exito.com//arroz-integral-taeq-1000-gr-30279/p,Exito
arroz integral taeq 1000 gr,5030,https://www.exito.com//arroz-integral-taeq-1000-gr-30279/p,Exito
arroz premium diana 1000g,5160,https://www.exito.com//arroz-premium-1000-gr-130605/p,Exito
arroz premium diana 1000g,5160,https://www.exito.com//arroz-premium-1000-gr-130605/p,Exito
arroz premium alto rendimiento federal 1000 gramo,5290,https://www.exito.com//arroz-premium-alto-rendimiento-x-1000-gr-949856/p,Exito
