ENCABEZADO,PRECIO,LINK,STORE
arroz 1k diana 1000g,3300,https://www.exito.com//arroz-diana-1000-gr-624332/p,Exito
arroz 1k diana 1000g,3300,https://www.exito.com//arroz-diana-1000-gr-624332/p,Exito
        arroz blanco diana vitamor            1 kg    ,3490,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-blanco-diana-vitamor-1-kg,Merqueo
        arroz blanco diana vitamor            1 kg    ,3490,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-blanco-diana-vitamor-1-kg,Merqueo
        arroz integral diana            1 kg    ,4590,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-integral-diana-1-kg,Merqueo
        arroz integral diana            1 kg    ,4590,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-integral-diana-1-kg,Merqueo
arroz premium diana 1000g,5160,https://www.exito.com//arroz-premium-1000-gr-130605/p,Exito
arroz premium diana 1000g,5160,https://www.exito.com//arroz-premium-1000-gr-130605/p,Exito
        arroz premium diana            1 kg    ,5490,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-premium-diana-1-kg,Merqueo
        arroz premium diana            1 kg    ,5490,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-premium-diana-1-kg,Merqueo
arroz premium coco diana 1000g,5670,https://www.exito.com//arroz-diana-premium-coco-685731/p,Exito
arroz integral diana 1000g,5810,https://www.exito.com//arroz-integral-898114/p,Exito
        arroz con coco premium diana            1 kg    ,5890,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-con-coco-premium-diana-1-kg,Merqueo
        arroz con coco premium diana            1 kg    ,5890,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-con-coco-premium-diana-1-kg,Merqueo
arroz diana integral x 1000g - kg a $11,10800,https://articulo.mercadolibre.com.co/MCO-595657537-arroz-diana-integral-x-1000g-_JM#position=47&search_layout=stack&type=item&tracking_id=19c75c02-ee03-4283-acf2-b40507a0b554,Mercado libre
arroz diana integral x 1000g - kg a $11,10800,https://articulo.mercadolibre.com.co/MCO-595657537-arroz-diana-integral-x-1000g-_JM#position=47&search_layout=stack&type=item&tracking_id=6b0c9323-a043-423e-a334-df0dcf52039c,Mercado libre
        arroz blanco diana vitamor            10 kg    ,34890,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-blanco-diana-vitamor-10-kg,Merqueo
        arroz blanco diana vitamor            10 kg    ,34890,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-blanco-diana-vitamor-10-kg,Merqueo
        arroz premium diana            10 kg    ,49890,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-premium-diana-10-kg,Merqueo
        arroz premium diana            10 kg    ,49890,https://merqueo.com//bogota/super-ahorro/abarrotes/arroz/arroz-premium-diana-10-kg,Merqueo
