ENCABEZADO,PRECIO,LINK,STORE
        leche condensada la lechera® lata            100 gr    ,1840,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-condensada-la-lechera-lata-100-gr,Merqueo
        leche entera colanta caja            1000 ml    ,2632,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-entera-colanta-caja-1000-ml,Merqueo
        leche entera colanta caja            1000 ml    ,2632,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-entera-colanta-caja-1000-ml,Merqueo
leche uht deslactosada semidescremada tetr edg colanta 1000 mililitro,2790,https://www.exito.com//lech-uht-deslac-semid-tetr-edg-colanta-1000-mililitro-10198/p,Exito
leche uht deslactosada semidescremada tetr edg colanta 1000 mililitro,2790,https://www.exito.com//lech-uht-deslac-semid-tetr-edg-colanta-1000-mililitro-10198/p,Exito
        leche deslactosada semidescremada colanta caja            1000 ml    ,2792,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-deslactosada-semidescremada-colanta-caja-1000-ml,Merqueo
        leche entera alpina bolsa            1100 ml    ,2872,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-entera-alpina-bolsa-1100-ml,Merqueo
        leche entera alquería caja            1000 ml    ,2952,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-entera-alqueria-caja-1000-ml,Merqueo
        leche deslactosada alpina bolsa            1100 ml    ,3112,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-deslactosada-alpina-bolsa-1100-ml,Merqueo
        leche entera alpina caja            1000 ml    ,3112,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-entera-alpina-caja-1000-ml,Merqueo
leche uht semidescr tetra edge colanta 1000 ml,3168,https://www.exito.com//leche-uht-semidescr-tetra-edge-colanta-1000-ml-10195/p,Exito
        leche 0% grasa alquería caja            1000 ml    ,3192,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-0-grasa-alqueria-caja-1000-ml,Merqueo
        leche deslactosada alpina caja            1000 ml    ,3352,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/leches/leche-deslactosada-alpina-caja-1000-ml,Merqueo
        leche deslactosada alpina caja            1000 ml    ,3352,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-deslactosada-alpina-caja-1000-ml,Merqueo
        leche deslactosada alquería caja            1000 ml    ,3592,https://merqueo.com//bogota/super-ahorro/lacteos-y-huevos/cremas/leche-deslactosada-alqueria-caja-1000-ml,Merqueo
leche baja grasa x1000 ml caja alpina 1000 ml,3780,https://www.exito.com//leche-baja-grasa-x1000-ml-caja-alpina-1000-ml-140659/p,Exito
leche entera caja alpina 1000 ml,3789,https://www.exito.com//leche-entera-en-caja-x-1-litro-227925/p,Exito
leche entera caja alpina 1000 ml,3789,https://www.exito.com//leche-entera-en-caja-x-1-litro-227925/p,Exito
leche deslactosada caja alpina 1000 ml,3870,https://www.exito.com//leche-deslactosada-en-caja-x-1-litro-878473/p,Exito
leche deslactosada caja alpina 1000 ml,3870,https://www.exito.com//leche-deslactosada-en-caja-x-1-litro-878473/p,Exito
leche deslactosa descremada caja alpina 1000 ml,4320,https://www.exito.com//leche-deslactosada-descremada-en-caja-x-1-litro-238291/p,Exito
leche deslactosa descremada caja alpina 1000 ml,4320,https://www.exito.com//leche-deslactosada-descremada-en-caja-x-1-litro-238291/p,Exito
